data,label
Neslihan_Atagül,0
Abdullah_Aydoğdu,0
Ayça_Ayşin_Turan,0
Kadir_Koçdemir,0
Beyazıt_Öztürk,0
Uğur_Dündar,0
Dilara_Lokmanhekim,0
Arzu_Ceylan,0
Güldeniz_Önal,0
Erdal_İnönü,0
Furkan_Asena_Aydın,0
Levent_Gürel,0
Abdullah_Eksioglu,0
Nazmiye_Demirel,0
Tansu_Çiller,0
Aydın_Ayas,0
Erden_Kıral,0
Sevan_Nişanyan,0
Dilara_Uralp,0
Dilara_Burali,0
Garabet_Yazmaciyan,0
Sofu_Mehmed_Pasha,0
Yıldırım_Aktuna,0
Onur_Tuna,0
Cenk_Uygur,0
Selda_Bağcan,0
Ertuğrul_Arslan,0
Tevfik_Rüştü_Aras,0
Jak_Ali_Harvey,0
Hakan_Koç,0
Nikos_Kapetanidis,0
Yağmur_Sarıgül,0
Ayhan_Karakuş,0
Dirayet_Taşdemir,0
Hasan_bey_Aghayev,0
Hafsa_Hatun,0
Asım_Orhan_Barut,0
Behrouz_Javid-Tehrani,0
Nafia_Kuş,0
Serdar_Ortaç,0
Refik_Koraltan,0
Rexhep_Mitrovica,0
Ahmet_Peker,0
Neslihan_Kavas,0
Garbis_İstanbulluoğlu,0
Ateş_Çınar,0
Murder_of_Sevag_Balıkçı,0
Rauf_Orbay,0
Merve_Aydın,0
John_the_Russian,0
Yaşar_Kemal,0
Turgut_Atakol,0
Melis_Birkan,0
Sami_Frashëri,0
Sakıp_Sabancı,0
Tuncay_Mataracı,0
Tim_Seyfi,0
Serdar_Topraktepe,0
İbrahim_Bölükbaşı,0
Betül_Cemre_Yıldız,0
Necdet_Calp,0
Celalettin_Muhtar_Ozden,0
Didem_Erol,0
Ekrem_Boyalı,0
Öznur_Kızıl,0
Mehmet_Hulusi_Conk,0
Cemal_Yıldız,0
Mustafa_Çakır,0
Demet_Evgar,0
Süreyyya_Evren,0
Samet_Bülbül,0
Mehmed_Uzun,0
Murat_Özçelik,0
Diyap_Yıldırım,0
Onur_İçli,0
Aziz_Sancar,0
İsmet_Sezgin,0
Cevat_Çobanlı,0
İsmet_Yılmaz,0
Mehmet_Gümüşburun,0
İskender_Alın,0
İbrahim_Çallı,0
Haldun_Dormen,0
Doğukan_Sönmez,0
Alican_Çağatay,0
Ercan_Özçelik,0
Remzi_Başakbuğday,0
Sertab_Erener,0
Buse_Tosun,0
Aydın_Menderes,0
Bora_Körk,0
Nihat_Berker,0
Filiz_Kadoğan,0
Sabahattin_Ali,0
Serpil_Yassıkaya,0
Arif_Şahin,0
Berkay_Can_Değirmencioğlu,0
Mert_Günok,0
Mustafa_İnan,0
Mertol_Demirelli,0
Fatih_Takmaklı,0
Nilüfer_Demir,0
Nejat_Eczacıbaşı,0
Turgut_Demirağ,0
Cem_Özüduru,0
Zeki_Ökten,0
Tan_Sağtürk,0
Atilla_Kuzu,0
Selim_Sarper,0
Bülent_Oran,0
