	id	acousticness	danceability	duration_ms	energy	instrumentalness	key	liveness	loudness	speechiness	tempo	valence	genre
0	Raven's Flight	0.0005	0.484	320613	0.996	0.0817	10	0.382	-5.045	0.12	120.041	0.0684	metal
1	Twilight Of The Thunder God	1.62e-05	0.374	248747	0.92	0.026	6	0.0802	-4.653	0.0501	191.014	0.278	metal
2	The Pursuit Of Vikings	6.59e-05	0.506	270253	0.967	0.41	6	0.167	-2.973	0.0451	129.704	0.488	metal
3	Raise Your Horns	6.85e-05	0.46	263787	0.876	0.798	5	0.151	-5.39	0.045	164.992	0.499	metal
4	War of the Gods	3.44e-05	0.434	273253	0.994	0.0293	11	0.254	-5.108	0.0836	95.171	0.15	metal
5	Guardians Of Asgaard	0.000129	0.529	263160	0.953	0.000487	9	0.146	-4.562	0.0594	134.968	0.279	metal
6	Deceiver of the Gods	4.09e-05	0.262	259173	0.991	0.204	1	0.15	-5.373	0.167	192.858	0.0827	metal
7	First Kill	8.38e-06	0.322	262240	0.925	0.519	7	0.0436	-5.067	0.0541	189.071	0.25	metal
8	Destroyer of the Universe	1.66e-05	0.318	221093	0.986	0.699	7	0.0701	-4.547	0.0849	177.67	0.0864	metal
9	Tattered Banners And Bloody Flags	2.04e-05	0.463	270067	0.951	0.329	2	0.13	-5.201	0.0625	102.52	0.306	metal
10	Father of the Wolf	4.05e-05	0.406	259680	0.964	0.612	6	0.0556	-4.453	0.0476	181.982	0.559	metal
11	The Way of Vikings	2.44e-05	0.506	311293	0.944	0.322	7	0.144	-4.752	0.0711	140.0	0.144	metal
12	Cry Of The Black Birds	2.14e-06	0.231	229773	0.932	0.513	11	0.0832	-4.051	0.0654	174.046	0.106	metal
13	Free Will Sacrifice	4.49e-05	0.389	248747	0.991	0.106	4	0.184	-5.155	0.0667	171.072	0.385	metal
14	As Loke Falls	2.38e-05	0.223	278760	0.968	0.444	2	0.177	-5.095	0.07	131.217	0.143	metal
15	On a Sea of Blood	1.81e-05	0.446	244520	0.944	0.789	9	0.226	-5.404	0.0519	95.018	0.276	metal
16	Valhall Awaits Me	2.78e-05	0.18	283520	0.959	0.287	2	0.0733	-4.885	0.0851	186.943	0.104	metal
